estrategia,threshold,auc_roc,f1_fraude,precision_fraude,recall_fraude,TP,FP,FN,TN,ratio_falsos_positivos
E1: Base+SMOTE (threshold=0.5),0.5,0.8928,0.8387,0.9533,0.7486,551,27,185,15423,0.0467
E2: Base+SMOTE (threshold~90% recall),0.01,0.8928,0.2642,0.157,0.8329,613,3292,123,12158,0.843
E3: class_weight='balanced'+SMOTE,0.01,0.8899,0.2528,0.1491,0.8315,612,3494,124,11956,0.8509
E4: feval_3 objetivo-90%,0.03,0.9071,0.3707,0.2381,0.837,616,1971,120,13479,0.7619
E5: Optuna + SMOTE,0.08,0.903,0.2747,0.1636,0.8573,631,3227,105,12223,0.8364
