modelo,threshold,auc_roc,precision_fraude,recall_fraude,f1_fraude,ratio_falsos_positivos,TP,FP,FN,TN,alertas_totales
Centralizado -> Bolivia | threshold=0.5,0.5,0.9989,0.7969,0.9892,0.8827,0.2031,4866,1240,53,93844,6106
Centralizado -> Bolivia | threshold~recall 0.9,0.74,0.9989,0.9446,0.8973,0.9204,0.0554,4414,259,505,94825,4673
Centralizado -> Brazil | threshold=0.5,0.5,0.9989,0.7947,0.97,0.8737,0.2053,3109,803,96,95992,3912
Centralizado -> Brazil | threshold~recall 0.9,0.66,0.9989,0.9299,0.902,0.9157,0.0701,2891,218,314,96577,3109
