modelo,threshold,auc_roc,precision_fraude,recall_fraude,f1_fraude,ratio_falsos_positivos,TP,FP,FN,TN,alertas_totales
Bolivia -> Brazil | threshold=0.5,0.5,0.7753,0.8683,0.4218,0.5678,0.1317,1352,205,1853,96590,1557
Bolivia -> Brazil | threshold~recall 0.9,0.008,0.7753,0.0389,0.8961,0.0746,0.9611,2872,70933,333,25862,73805
Brazil -> Bolivia | threshold=0.5,0.5,0.8113,0.8945,0.3257,0.4775,0.1055,1602,189,3317,94895,1791
Brazil -> Bolivia | threshold~recall 0.9,0.001,0.8113,0.0629,0.9116,0.1176,0.9371,4484,66857,435,28227,71341
