modelo,threshold,auc_roc,precision_fraude,recall_fraude,f1_fraude,ratio_falsos_positivos,TP,FP,FN,TN,alertas_totales
Bolivia temporal | threshold=0.5,0.5,0.9,0.8582,0.7649,0.8089,0.1418,563,93,173,15357,656
Bolivia temporal | threshold~recall 0.9,0.01,0.9,0.079,0.9076,0.1454,0.921,668,7783,68,7667,8451
Brazil temporal | threshold=0.5,0.5,0.8602,0.7694,0.7371,0.7529,0.2306,387,116,138,15426,503
Brazil temporal | threshold~recall 0.9,0.002,0.8602,0.0443,0.8971,0.0845,0.9557,471,10152,54,5390,10623
